#{"t_start": 1626785288.6592247, "env_id": null}
r,l,t
-392.284616,196,2358.928897
-507.225091,96,2366.190582
-633.06934,98,2373.288074
-84.632371,23,2375.291552
-146.02702,100,2382.868844
-1105.505267,197,2396.314731
143.747051,95,2403.1325
-65.310335,54,2407.102974
459.003007,98,2413.732049
1465.055867,294,2434.834712
-484.509657,99,2442.263997
-268.877662,140,2452.452999
-756.997803,104,2459.409213
-1053.133057,297,2479.828044
-2462.493205,395,2506.667736
-1502.743353,200,2519.982048
-674.516532,196,2533.4349
-293.884224,196,2546.867181
-649.959859,95,2553.911541
-1370.315557,222,2569.728339
-498.503251,97,2576.348732
-18.457035,29,2578.80818
-1255.179452,302,2598.920519
-478.491425,395,2625.000773
-33.606073,13,2626.452344
-548.791675,195,2639.671977
-119.974357,198,2652.868656
-3397.909191,596,2693.65387
204.890502,137,2703.604037
-687.165778,94,2709.841784
-747.791296,173,2721.320008
245.540651,106,2728.692298
-1830.771852,302,2750.094878
-70.016526,95,2757.742198
-645.685241,93,2764.527356
46.152573,31,2767.182655
-417.496469,211,2780.932746
388.547611,96,2787.704593
-565.256722,107,2795.37892
-669.053704,296,2817.695032
-243.75236,192,2831.236239
-545.758345,72,2836.290242
-1103.645898,194,2850.24487
-571.073822,96,2857.034892
-401.029634,96,2865.005838
656.599246,95,2872.031639
-89.833718,95,2878.570026
-571.145374,94,2885.207533
609.493798,230,2901.421789
970.846152,196,2914.648546
-1236.731715,198,2928.109336
-1237.736492,196,2942.172091
-1675.686043,545,2976.631439
-176.4912,97,2984.191053
-259.501069,86,2990.325397
-774.761622,198,3003.894712
-1320.203933,196,3017.891556
-564.47064,196,3031.605611
-295.667204,196,3046.110808
-595.059294,99,3053.936202
-454.276634,97,3061.409959
-2119.836269,295,3082.058834
-41.383412,98,3089.139821
-1226.376127,295,3109.735243
950.113061,261,3127.969827
-426.691385,95,3135.279262
-460.195284,104,3142.77721
190.399485,160,3153.295828
-310.496208,95,3160.243001
-570.807611,96,3166.666114
-536.715986,124,3175.417454
-235.334403,97,3182.445624
-385.709284,95,3189.379625
-704.191852,196,3203.911165
-4139.013819,1001,3269.645017
-865.053411,395,3297.75227
-423.363318,95,3304.610382
-1037.350387,195,3317.752836
-1472.786905,694,3363.632068
-2463.92935,404,3391.04635
22.178446,115,3398.719157
-531.131275,102,3405.700194
-57.237926,18,3407.517593
-461.427477,195,3420.648487
354.116617,99,3428.057071
84.867475,162,3439.03893
-9.817877,10,3440.354489
-1041.078036,295,3461.825404
-741.22765,296,3481.368419
-694.811064,96,3488.020852
-2019.027775,394,3517.995078
-572.025532,195,3530.803667
-7.031769,95,3537.258655
-322.185627,63,3541.65525
