#{"t_start": 1626354433.356354, "env_id": null}
r,l,t
-36.369105,9,306.249413
-31.919834,10,306.969681
-58.105954,9,307.608953
-73.776304,11,308.335057
-71.317066,10,309.024574
-73.661053,10,309.714597
-73.579034,10,310.397945
-85.647871,12,311.170217
-77.497259,11,311.903503
-68.123963,11,312.672713
-58.832046,10,313.384303
185147.416097,11,314.117988
-81.184274,11,314.861568
-48.073757,11,315.615175
-73.195519,10,316.321824
-63.608669,11,317.081419
-66.213992,10,317.770916
-58.287553,11,318.51206
-49.763831,9,319.132971
-47.008734,11,319.883215
-54.621465,9,320.52806
-82.283998,11,321.260797
-58.831767,9,321.898535
-51.662223,10,322.595551
-84.058859,10,323.291508
-38.552887,9,323.931563
-46.77921,9,324.617402
-68.432811,10,325.318386
-28.495691,9,325.959714
-31.310387,9,326.639679
-25.980671,10,327.335016
132614.800488,10,328.073565
-19.054998,11,328.832156
-64.60278,11,329.570286
-46.360003,9,330.225884
-67.008063,11,330.985301
-56.48998,9,331.636182
-50.165553,12,332.441698
-56.001819,9,333.115463
-44.598058,11,333.869221
-24.473259,9,334.511587
-16.275636,9,335.171883
-26.998319,9,335.820836
-19.789291,10,336.54081
-46.182218,8,337.137111
-42.704199,10,337.858437
-57.86492,12,338.67134
-39.952992,9,339.343699
-69.332041,13,340.224564
-44.289312,8,340.861009
-63.376358,14,341.822588
-44.780152,11,342.594257
-61.97826,13,343.460227
-64.845351,13,344.355335
-62.796879,13,345.248378
-46.505009,11,346.015646
-28.489675,11,346.766071
-38.311745,10,347.473659
-66.950806,15,348.507945
-67.272741,12,349.330393
-83.310549,14,350.248338
-42.778983,17,351.372685
-103.520157,17,352.437909
-85.637145,14,353.332943
-54.166478,13,354.226128
-18.095746,11,354.981238
-110.733304,17,356.071929
-141.905914,20,357.317682
-124.988321,19,358.497534
-126.746655,18,359.639
-110.222644,19,360.865039
-105.646194,16,361.915781
-80.148314,16,362.946312
-36.980093,13,363.822481
-108.025816,17,364.940645
-119.632912,20,366.286757
-106.969012,21,367.657897
-116.859991,16,368.705128
-136.78569,22,370.112575
-51.273175,13,370.982041
-42.916782,11,371.750733
-60.278749,13,372.646719
-192.889256,32,374.644329
-123.890662,21,375.995783
-40.669735,15,377.001062
-210.111753,35,379.135384
-54.941854,14,380.081254
-107.992098,19,381.374721
-113.664521,18,382.550758
-71.415581,18,383.702894
69195.871676,18,384.891189
-55.145417,15,385.850369
-152.865776,22,387.212786
-52.360005,13,388.074481
-58.736175,13,388.975291
-133.532632,19,390.154649
-142.658914,24,391.656245
-1173.120993,153,400.323004
-100.339155,18,401.486897
-133.388914,24,402.956374
-742.453605,102,408.926819
-72.568891,14,409.915221
-149.503912,25,411.432124
-127.559633,22,412.823566
-85.380502,17,413.909574
-60.750009,17,415.073622
-1732.807778,229,429.023592
-975.019963,137,437.91848
632147.093063,34,440.162093
-141.611911,26,441.744797
-74.520966,15,442.710024
-34.701121,11,443.462646
-44.451946,10,444.19646
-179.701196,25,445.809141
-41.445926,8,446.427672
-11.606952,9,447.1235
-39.572179,7,447.689414
-40.820244,7,448.267003
-4.381291,8,448.880233
-161.774762,22,450.258051
-83.198241,11,451.046875
-17.44825,8,451.646004
