#{"t_start": 1626318937.7803476, "env_id": null}
r,l,t
0.970245,1,4.564534
0.977084,1,6.735252
-7.633757,8,10.000317
0.986344,1,12.121965
1.637235,2,14.399436
0.98097,1,16.423514
0.981522,1,18.591035
0.970141,1,20.685792
1.410524,2,22.965873
0.871088,1,25.099261
0.949564,1,27.216999
0.943979,1,29.303385
8.269254,4,31.904284
