#{"t_start": 1626699814.037848, "env_id": null}
r,l,t
-105.462688,22,515.467017
-68.391396,43,518.337946
-78.772242,31,520.750998
-64.219642,29,522.885564
-35.212914,10,524.006822
-84.767424,22,525.791496
-43.340352,22,527.558159
-47.031494,23,529.336429
-41.511231,21,531.018628
-48.097969,10,532.124663
-29.210738,18,533.728226
-101.670126,28,535.925427
43.821067,25,537.862101
123.112472,77,542.993315
4.356886,43,545.96407
-17.842836,22,547.80177
43.678913,11,548.943512
-108.080544,39,551.792331
-44.045547,8,552.751075
-154.757648,23,554.560766
-93.665239,40,557.373328
-33.948373,7,558.307176
-14.508784,35,560.946349
-22.755948,10,562.049501
-94.744505,22,563.775693
-93.498974,14,565.072611
-59.815301,27,567.077209
-31.757354,16,568.52723
-47.676416,10,569.631837
-11.079635,19,571.189353
-7.276729,43,574.073841
-6.673884,23,575.90112
-16.059226,29,578.104815
-13.978589,12,579.356272
-13.81863,24,581.244357
-38.614694,12,582.431551
104.403021,28,584.558896
-119.857816,35,586.98244
-32.975184,35,589.516859
-93.288273,42,592.510689
156.018616,30,594.766593
384.83505,60,598.838443
-97.740797,55,602.397034
-70.132493,73,607.048163
-36.69944,10,608.126517
-15.393867,21,609.827306
-28.311827,17,611.320051
-222.914141,53,614.751553
-65.63108,41,617.64825
-78.348696,44,620.706261
-239.287098,59,624.591128
-70.081026,14,625.913279
94.068187,32,628.342012
-46.343378,28,630.441029
45.787998,29,632.563108
-15.741294,21,634.186004
73.28312,81,639.458052
-27.902209,36,642.125711
71.283505,53,645.677492
9.657382,43,648.737224
65.572204,21,650.447309
-42.990914,37,653.066099
17.439027,32,655.373612
50.716959,50,658.791532
49.10149,40,661.629666
59.670484,41,664.430423
-52.83803,33,666.971341
153.026476,86,672.574215
37.513844,19,674.255121
-19.386603,29,676.486141
103.049648,71,681.538555
-15.096048,29,683.816216
-21.028226,12,685.100055
-28.977582,13,686.452658
4.305015,96,692.782699
-21.176571,22,694.642226
11.062939,19,696.239954
-34.176225,53,699.791501
2.229659,15,701.135644
268.482106,30,703.409744
38.087776,55,707.167934
-57.584398,14,708.480145
88.257757,51,712.161572
-65.158797,30,714.400213
-29.729567,9,715.373948
46.61514,24,717.206951
395.301102,58,721.057151
-5.177168,28,723.141071
-97.769334,26,725.128923
-1.812585,12,726.312952
-50.468009,31,728.588704
41.979135,35,731.007943
-1.64884,15,732.338557
-16.344656,45,735.545257
108.677322,34,737.981821
16.623678,20,739.603472
-66.277655,47,742.800226
-34.446995,23,744.607033
9.249032,19,746.148999
60.585201,51,749.675627
178.223361,52,753.310204
-102.562959,42,756.208751
-32.170632,29,758.337758
-42.034505,28,760.45995
235.197768,42,763.381367
-44.934931,53,767.013905
43.40097,26,769.076339
-6.351812,26,771.056086
78.365035,108,777.96646
42.529598,31,780.282303
80.912232,80,785.450136
-40.771634,17,786.8705
2.197171,16,788.28496
-362.665806,77,793.23258
-21.381097,39,795.928243
22.99078,21,797.61813
427.726083,72,802.362897
33.973286,72,807.2823
71.203034,63,811.448378
-24.063549,13,812.7105
110.85832,58,816.631295
369.613411,44,819.744573
-22.233642,19,821.310014
-26.084979,10,822.37996
-42.75301,7,823.331635
-13.291953,11,824.475178
268.646432,76,829.535608
47.706735,34,831.976969
-42.403547,12,833.196173
-16.714685,17,834.636431
-108.150798,61,838.668287
-6.516274,9,839.695267
-37.319722,11,840.796458
-53.40858,24,842.685418
6.265027,12,843.948836
36.400148,53,847.397765
379.876147,71,851.932163
-20.309689,15,853.290966
-157.651994,36,855.839353
-96.845716,48,859.191179
22.283583,45,862.287851
11.863508,49,865.749491
37.000967,30,868.004235
146.839396,56,871.80989
10.729855,44,874.876248
17.642142,26,876.885031
19.26503,31,879.140822
45.051495,60,883.109236
-4.763779,14,884.42567
-40.771829,16,885.883376
-38.102802,81,891.536032
-34.339623,26,893.523702
-16.041909,9,894.571704
-8.154223,10,895.747293
36.636352,70,900.517788
8.889541,25,902.53203
-6.543841,19,904.161727
439.901228,114,911.478113
313.801067,123,919.356258
175.109169,39,922.192389
1.509128,24,924.092361
253.925475,76,928.842377
7.54945,13,930.076513
21.903912,34,932.546703
-2.415346,32,934.8768
-13.048564,37,937.659349
11.113696,47,940.925111
-28.254018,18,942.449289
317.104246,39,945.12976
-70.913104,141,953.717456
175.039677,64,958.118414
-28.465602,11,959.271113
-102.608689,68,963.925947
-60.831049,17,965.441767
294.930696,82,971.298194
-39.274518,32,973.555622
-54.083968,49,976.846355
-99.454117,77,981.865928
19.344675,57,985.61623
-4.162323,14,986.900381
299.361387,114,993.979868
565.053027,142,1003.730606
-198.385893,63,1007.734787
-3.840639,36,1010.343197
262.123135,104,1017.278461
59.286191,138,1026.300031
375.025289,100,1032.944502
3.08839,8,1033.95751
-37.797847,20,1035.642623
60.366411,60,1039.774424
-26.630449,8,1040.756431
-14.256668,11,1041.963011
174.926308,37,1044.579136
136.985094,48,1047.977733
30.685212,19,1049.577865
27.13802,24,1051.530913
19.00401,29,1053.709265
47.529079,27,1055.734183
-40.162467,7,1056.674164
23.626277,18,1058.161284
35.213734,30,1060.35999
-21.866293,5,1061.202584
359.570291,86,1066.866501
-27.070216,7,1067.811985
39.132227,42,1070.768013
25.844872,36,1073.304203
-52.422592,23,1075.220063
233.389301,28,1077.36893
45.553195,35,1079.906518
15.223371,52,1083.378031
-24.874477,12,1084.645381
229.075055,102,1091.31332
24.197542,56,1095.054812
361.060887,102,1102.02392
-0.763143,14,1103.357587
251.283071,100,1110.049697
193.323382,25,1111.993751
-9.853468,34,1114.41208
