#{"t_start": 1626354427.3604953, "env_id": null}
r,l,t
1068.63619,217,1350.270578
1127.191054,418,1375.509899
89.036358,92,1380.985083
230.674515,142,1389.506668
1049.693101,324,1409.099963
116.609413,139,1417.769246
1203.303116,245,1432.666114
440.183578,139,1441.109267
1398.912111,224,1454.467099
413.436433,150,1463.607588
138.884042,90,1469.311477
299.362278,135,1477.431533
525.484147,220,1490.83646
1710.024271,250,1505.853924
516.268808,181,1516.759677
38.719917,100,1522.832804
803.947029,225,1536.11532
62.231999,145,1544.823694
131.586569,167,1554.714962
491.007193,143,1563.195786
698.945711,155,1572.642529
755.610256,215,1585.996008
387.752979,115,1593.232554
801.838331,205,1605.786165
907.409395,114,1612.662774
254.748536,182,1623.718484
129.490215,125,1631.035102
657.207687,137,1639.244984
763.798521,153,1648.572133
916.413146,334,1669.565179
429.721327,165,1679.383937
1464.682959,221,1692.383803
1146.670872,292,1710.458694
640.562271,221,1723.995789
281.984492,150,1733.248435
1175.781787,213,1746.375716
342.735332,101,1752.534676
366.062049,360,1774.139636
211.181154,102,1780.443864
507.415013,125,1787.917747
490.354882,110,1794.694938
89.760791,77,1799.570717
1249.143843,282,1817.491967
426.399707,170,1827.744464
2034.625649,379,1850.346229
1232.987681,210,1863.404819
1553.935676,245,1878.261216
1841.025243,276,1895.095953
71.230021,82,1900.342802
366.982295,187,1911.947409
126.093061,83,1917.179231
163.258137,127,1925.177952
416.358667,164,1935.197714
-32.294024,144,1943.785577
2323.491756,357,1964.771778
783.6711,165,1975.386243
1346.379219,207,1988.154931
187.75202,104,1994.491327
2569.964117,475,2023.296704
205.934995,114,2030.595115
-141.140602,46,2033.487178
465.538108,111,2040.545541
592.880058,110,2047.316762
-54.913856,22,2048.73912
406.010415,194,2060.296017
-177.225393,56,2063.772225
-17.508806,120,2071.360218
190.189226,99,2077.260079
683.654446,144,2086.280469
651.086949,226,2099.951074
709.349461,296,2117.574883
585.968151,188,2128.594932
70.048096,120,2136.255365
20.541409,84,2141.052344
1364.495418,230,2155.218854
535.014841,218,2167.907389
-55.546959,39,2170.317331
-56.655373,89,2175.345096
255.502224,249,2190.289929
1623.984661,362,2212.323649
708.902181,152,2221.35204
943.792708,281,2238.411084
530.694881,216,2251.322827
1040.444847,162,2261.318547
155.675653,64,2265.283197
101.360327,119,2272.321453
401.22987,146,2281.196713
1873.082038,284,2298.44058
1694.328786,288,2315.937774
-447.924585,86,2321.493823
-303.906444,84,2326.486211
267.466544,110,2333.390333
-118.620793,35,2335.516433
487.322442,162,2345.442433
604.156767,174,2356.087331
644.759474,179,2366.855622
1021.70715,284,2383.600515
2289.106517,516,2414.9767
1714.866256,353,2437.566757
1412.359306,316,2456.89378
-70.536745,59,2460.468534
1725.18999,413,2486.04018
-363.837395,78,2490.768095
1672.299916,401,2515.478878
1420.564614,203,2528.463413
557.184345,182,2539.603288
1625.533432,308,2558.663882
1710.775933,430,2584.765939
414.688105,146,2593.619966
308.154865,129,2601.376405
273.085747,164,2611.422092
-70.013891,65,2615.354865
982.808641,173,2625.556709
178.309219,329,2644.576117
467.158748,171,2655.0676
933.61751,259,2671.350924
455.418263,183,2682.46545
1693.859529,264,2698.013484
-55.127679,91,2703.27309
1356.735126,457,2730.763496
1257.447508,317,2749.986878
1061.090803,316,2769.141757
318.221449,174,2779.594728
291.20103,232,2793.915897
778.925168,257,2809.520592
2438.032827,419,2834.845395
1668.203593,286,2852.204647
420.935058,167,2862.492516
2037.592069,329,2882.669543
102.351263,114,2889.683392
1615.479353,310,2908.768151
1508.612451,216,2921.874993
